projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
00001ccc0e81598c4bd86bacb94d7acb,96963218e74e10c3764a5cfb153e6fea,9f3f9f2c2da7edda5648ccd10554ed8c,1.70993E+11,41.807654,-87.673257,Chicago,IL,urban,Pershing Elem Network,Cook,f,f,Mrs.,Mathematics,Math & Science,Visual Arts,Music & The Arts,Supplies,,Grades PreK-2,1498.61,31,f,4/14/13,5/2/13
0000fa3aa8f6649abab23615b546016d,2a578595fe351e7fce057e048c409b18,3432ed3d4466fac2f2ead83ab354e333,64098006751,34.296596,-119.296596,Ventura,CA,urban,Ventura Unif School District,Ventura,f,f,Mrs.,Civics & Government,History & Civics,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 3-5,282.47,28,t,4/7/12,4/18/12
000134f07d4b30140d63262c871748ff,26bd60377bdbffb53a644a16c5308e82,dc8dcb501c3b2bb0b10e9c6ee2cd8afd,62271003143,34.078625,-118.257834,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literacy,Literacy & Language,Social Sciences,History & Civics,Technology,high poverty,Grades 3-5,1012.38,56,f,1/30/12,4/15/12
0001f2d0b3827bba67cdbeaa248b832d,15d900805d9d716c051c671827109f45,8bea7e8c6e4279fca6276128db89292e,3.60009E+11,40.687286,-73.988217,Brooklyn,NY,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,Ms.,Literacy,Literacy & Language,,,Books,high poverty,Grades PreK-2,175.33,23,f,10/11/12,12/5/12
0004536db996ba697ca72c9e058bfe69,400f8b82bb0143f6a40b217a517fe311,fbdefab6fe41e12c55886c610c110753,3.60687E+11,40.793018,-73.205635,Central Islip,NY,suburban,Central Islip Union Free SD,Suffolk,f,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Technology,high poverty,Grades PreK-2,3591.11,150,f,1/8/13,3/25/13
00049ec8ca1f2d08cb13cab31b0b85ec,7149611553c700de9a6099f8a9ce598b,462a5fd93cf9fb5d41eecfd2ea860b19,2.62115E+11,42.740157,-84.525821,Lansing,MI,urban,Lansing School District,Ingham,f,f,Mrs.,Literacy,Literacy & Language,,,Other,highest poverty,Grades 3-5,475.85,15,f,11/30/12,2/26/13
0004d2fdbb571237fa53a97e7691440b,926671e209fb977bd5123145c1848ad1,1a994778027ab086dc58ec3b47f74ff0,40472002920,33.059361,-112.037727,Maricopa,AZ,rural,Maricopa Unif Sch District 20,Pinal,f,f,Ms.,Literacy,Literacy & Language,,,Supplies,high poverty,Grades 3-5,390.65,37,f,3/26/13,4/17/13
0004ee26667e751dd51384eb9f30c72e,abe4dabb7864f4c548d230cf9070e03f,8409f70bcd81bc06e4b9efca68eed8f6,62805011920,37.761958,-122.193209,Oakland,CA,urban,Oakland Unified School Dist,Alameda,f,f,Mr.,Mathematics,Math & Science,,,Books,highest poverty,Grades 9-12,3877.2,30,f,2/28/13,3/10/13
0006a31d45f8d52d217e7c5b55c11f37,3b5fada1ad0e339acc669829071320c4,c6a033f9349ea70659c1891b119680ed,2.30732E+11,44.096641,-70.191734,Lewiston,ME,urban,Lewiston Public Schools,Androscoggin,f,f,Mrs.,Other,Applied Learning,,,Technology,high poverty,Grades 3-5,838.75,25,f,8/21/13,9/13/13
0008ac907bf237a15a959244205d3ee5,92527a5ac5fe946ed1961fb2e1de8cc5,23e34f5d2e2940684269cffe35741598,62718004095,34.381832,-118.531837,Newhall,CA,suburban,Newhall School District,Los Angeles,f,f,Ms.,Mathematics,Math & Science,Literacy,Literacy & Language,Technology,highest poverty,Grades PreK-2,1477.44,24,f,10/3/12,11/3/12
0009bc936fed4728d5fd86d92ee3cec1,66b77e507a30a5fbbcb4f7631c5ccc75,af67655269d03992889a8db7fe0cf83d,60720000671,37.263773,-121.996427,Saratoga,CA,suburban,Campbell Union School District,Santa Clara,t,f,Mrs.,Social Sciences,History & Civics,Literacy,Literacy & Language,Other,low poverty,Grades 3-5,194.11,25,f,7/29/13,11/26/13
000a6dcbb21ec643daf74ed28991d29c,93e0a37fca3cd7c9c32a535673c48af4,7e28905e0126e37d9b747e92c5fcf44d,2.92685E+11,38.535275,-90.464493,Fenton,MO,suburban,Rockwood School District R6,St Louis,f,f,Mrs.,Visual Arts,Music & The Arts,,,Other,moderate poverty,Grades 3-5,714.22,25,f,6/22/13,10/17/13
000a981e6bd61c489bbebc237f7b6a0d,a886a532c21f83b0c30571208636dc0e,c995de8108ac314637e1c869f81af766,1.70993E+11,41.922711,-87.692965,Chicago,IL,urban,Fullerton Elem Network,Cook,f,f,Ms.,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades PreK-2,523.27,700,f,1/22/13,2/28/13
000b238b8c85214d58683b13398fd058,439f1e081199a89540cbf69866cfd182,685d2471561270abe3820d947fbbe3e9,62250002760,33.773256,-118.183848,Long Beach,CA,urban,Long Beach Unified School Dist,Los Angeles,f,t,Mrs.,Health & Wellness,Health & Sports,Gym & Fitness,Health & Sports,Supplies,highest poverty,Grades PreK-2,1108.94,809,f,10/27/13,11/29/13
